"sysdate","variable","value"
2021-02-15,"premium",20.5497872340426
2021-02-16,"premium",20.5575413711584
2021-02-17,"premium",20.5735460992908
2021-02-18,"premium",20.5806619385343
2021-02-19,"premium",20.6700472813239
2021-02-20,"premium",20.8254137115839
2021-02-21,"premium",20.9470921985816
2021-02-22,"premium",20.9756264775414
2021-02-23,"premium",21.0415602836879
2021-02-24,"premium",21.1777541371158
2021-02-25,"premium",21.3338770685579
2021-02-26,"premium",21.4746808510638
2021-02-27,"premium",21.5997163120567
2021-02-28,"premium",21.6615130023641
2021-03-01,"premium",21.6842789598109
2021-03-02,"premium",21.7308983451537
2021-03-03,"premium",21.8239007092199
2021-03-04,"premium",21.8947990543735
2021-03-05,"premium",21.9513002364066
2021-03-06,"premium",21.9736170212766
2021-03-07,"premium",22.0183215130024
2021-03-08,"premium",22.0272104018913
2021-03-09,"premium",22.0484160756501
2021-03-10,"premium",22.0934988179669
2021-03-11,"premium",22.1381796690307
2021-03-12,"premium",22.1928368794326
2021-03-13,"premium",22.2386052009456
2021-03-14,"premium",22.2681087470449
2021-03-15,"premium",22.2705910165485
2021-03-16,"premium",22.2724113475177
2021-03-17,"premium",22.2861229314421
2021-03-18,"premium",22.2985579196218
2021-03-19,"premium",22.3088888888889
2021-03-21,"premium",22.3208983451537
2021-03-22,"premium",22.3248463356974
2021-03-23,"premium",22.3288888888889
2021-03-24,"premium",22.3255082742317
2021-03-25,"premium",22.3284397163121
2021-03-26,"premium",22.3187706855792
2021-03-27,"premium",22.314609929078
2021-03-28,"premium",22.3077777777778
2021-03-29,"premium",22.3090307328605
2021-03-30,"premium",22.3187943262411
2021-03-31,"premium",22.323475177305
2021-04-01,"premium",22.3293853427896
2021-04-02,"premium",22.3311820330969
2021-04-03,"premium",22.3283451536643
2021-04-05,"premium",22.3260520094563
2021-04-06,"premium",22.3312056737589
2021-04-07,"premium",22.3310165484634
2021-04-08,"premium",22.3291962174941
2021-04-09,"premium",22.3282742316785
2021-04-10,"premium",22.3252245862884
2021-04-11,"premium",22.3171158392435
2021-04-12,"premium",22.316548463357
2021-04-13,"premium",22.3184397163121
2021-04-14,"premium",22.3123640661939
2021-04-15,"premium",22.3147044917258
2021-04-16,"premium",22.3167375886525
2021-04-17,"premium",22.323853427896
2021-04-18,"premium",22.3301891252955
2021-04-19,"premium",22.335768321513
2021-04-20,"premium",22.3372104018913
2021-04-21,"premium",22.3443498817967
2021-04-22,"premium",22.3548463356974
2021-04-23,"premium",22.3520567375887
2021-04-24,"premium",22.3408037825059
2021-04-25,"premium",22.3322458628842
2021-04-26,"premium",22.3316548463357
2021-04-27,"premium",22.3317257683215
2021-04-28,"premium",22.3299290780142
2021-04-29,"premium",22.3252955082742
2021-04-30,"premium",22.3285815602837
2021-05-01,"premium",22.3367848699764
2021-05-02,"premium",22.3390543735225
2021-05-03,"premium",22.34
2021-05-04,"premium",22.3459810874704
2021-05-05,"premium",22.3443971631206
2021-05-06,"premium",22.351938534279
2021-05-07,"premium",22.3572340425532
2021-05-08,"premium",22.3608274231678
2021-05-09,"premium",22.3612293144208
2021-05-10,"premium",22.3634278959811
2021-05-11,"premium",22.3713475177305
2021-05-12,"premium",22.3783215130024
2021-05-13,"premium",22.3789598108747
2021-05-14,"premium",22.3795035460993
2021-05-15,"premium",22.3863829787234
2021-05-16,"premium",22.3828368794326
2021-05-17,"premium",22.3824586288416
2021-05-18,"premium",22.3853191489362
2021-05-19,"premium",22.385011820331
2021-05-20,"premium",22.3868557919622
